Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R1","4.7M","R_0603_1608Metric",105.8420,-86.1315,-90.0000,bottom
"R2","2.2k","R_0603_1608Metric",108.7630,-86.9190,180.0000,bottom
"R3","100k","R_0603_1608Metric",108.5090,-89.3320,0.0000,bottom
"R4","100k","R_0603_1608Metric",108.5090,-91.1100,180.0000,bottom
"R5","4.7M","R_0603_1608Metric",94.1580,-86.1315,-90.0000,bottom
"R6","2.2k","R_0603_1608Metric",91.4655,-86.9190,0.0000,bottom
"R7","100k","R_0603_1608Metric",91.4655,-89.3320,180.0000,bottom
"R8","100k","R_0603_1608Metric",91.4655,-91.1100,0.0000,bottom
"R9","2.2k","R_0603_1608Metric",114.7320,-111.6840,0.0000,bottom
"R10","2.2k","R_0603_1608Metric",114.7320,-109.9060,0.0000,bottom
"R11","4.7M","R_0603_1608Metric",87.4270,-146.9900,0.0000,bottom
"R12","470","R_0603_1608Metric",87.4270,-145.4660,180.0000,bottom
"R13","4.7M","R_0603_1608Metric",90.7000,-145.4660,0.0000,bottom
"R14","470","R_0603_1608Metric",90.7000,-146.9900,180.0000,bottom
"R15","100k","R_0603_1608Metric",89.5860,-110.9220,90.0000,bottom
"R16","100k","R_0603_1608Metric",95.7000,-143.1000,180.0000,bottom
"R17","2.2k","R_0603_1608Metric",108.9300,-141.2900,0.0000,bottom
"R18","470","R_0603_1608Metric",96.7870,-117.6530,0.0000,bottom
"R19","470","R_0603_1608Metric",90.4115,-117.1450,0.0000,bottom
"R20","2.2k","R_0603_1608Metric",114.7475,-128.8300,0.0000,bottom
"R21","2.2k","R_0603_1608Metric",122.9235,-128.9635,-90.0000,bottom
"R22","2.2k","R_0603_1608Metric",121.3995,-128.9635,-90.0000,bottom
"U1","TTP223","SOT-23-6",78.8340,-119.0500,180.0000,bottom
"U2","4060","SOIC-16_3.9x9.9mm_P1.27mm",80.3000,-138.2270,180.0000,bottom
"U3","4060","SOIC-16_3.9x9.9mm_P1.27mm",88.2000,-138.9890,180.0000,bottom
"U4","74HC74","SOIC-14_3.9x8.7mm_P1.27mm",83.4900,-112.7000,90.0000,bottom
"U5","4069","SOIC-14_3.9x8.7mm_P1.27mm",100.0000,-88.2500,0.0000,bottom
"U6","MCP4922-E/SL","SOIC-14_3.9x8.7mm_P1.27mm",97.8000,-136.0900,180.0000,bottom
"U7","MCP4922-E/SL","SOIC-14_3.9x8.7mm_P1.27mm",95.4280,-112.6350,90.0000,bottom
"U8","LM358 / MCP6002","SOIC-8_3.9x4.9mm_P1.27mm",104.5470,-138.8555,-90.0000,bottom
"U9","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",101.4940,-123.9408,45.0000,bottom
"U10","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",107.2390,-112.6350,90.0000,bottom
"U11","LP2985-3.3","SOT-23-5",121.4200,-113.5200,0.0000,bottom
"U12","MCP4922-E/SL","SOIC-14_3.9x8.7mm_P1.27mm",98.8570,-147.7520,-90.0000,bottom
"W1","FIDUCIAL1","Fiducial_1mm_Mask2mm",122.0000,-70.0000,0.0000,bottom
"W2","FIDUCIAL2","Fiducial_1mm_Mask2mm",78.0000,-155.0000,0.0000,bottom
"X1","16MHz","Crystal_SMD_HC49-SD",88.2570,-154.9910,0.0000,bottom
"X2","7.3721MHz","Crystal_SMD_HC49-SD",111.7430,-154.9910,0.0000,bottom
"X3","12MHz","Crystal_SMD_HC49-SD",100.0000,-100.7620,-90.0000,bottom
